fold,f1_score,precision_score,recall_score,rep
0,0.4867025622664721,0.4991765127103473,0.5217687074829932,0
1,0.5648387744252407,0.5742928750447547,0.5933225921947727,0
2,0.4920440358642606,0.5146379525593009,0.5209425717852684,0
3,0.5496956677407805,0.5574248120300751,0.5852756892230576,0
4,0.4575727513227513,0.46571969696969695,0.5000631313131314,0
0,0.5463782809507716,0.5747521685254027,0.5666047087980174,1
1,0.5459158686431413,0.5605429292929293,0.5789772727272727,1
2,0.46054367016631165,0.4682389937106919,0.5085175202156335,1
3,0.46029267594153084,0.47127862595419845,0.48810432569974554,1
4,0.5109864637849711,0.5158493248045486,0.5603233830845771,1
0,0.4868209031777806,0.5029739776951673,0.5312533191715347,2
1,0.4853890679078649,0.511936090225564,0.5033208020050125,2
2,0.5076868200463707,0.5202960584983056,0.5445068664169788,2
3,0.466736010320916,0.47788858939802337,0.494806828391734,2
4,0.48739778739778744,0.49949494949494955,0.5257260101010102,2
0,0.4818602953434414,0.5054975922953452,0.5129837702871409,3
1,0.41304760054760054,0.44933261183261186,0.425784632034632,3
2,0.5162432179349472,0.5158163265306123,0.5624060150375939,3
3,0.4521714746504663,0.4608604845446951,0.4904761904761905,3
4,0.5188741447232014,0.520372866127583,0.564429469901168,3
0,0.45893980233602877,0.47792452830188675,0.4909433962264151,4
1,0.4905214877019389,0.5032312925170068,0.5225563909774437,4
2,0.5129772483155943,0.5166040100250626,0.5482456140350878,4
3,0.5055430313920879,0.5272327044025157,0.5266352201257862,4
4,0.5455567357054345,0.5594264471587892,0.5775092936802974,4
